#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.69 aq:9.96 tex:267812 mv:51734 misc:6486 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:26.41 aq:17.30 tex:37316 mv:4842 misc:1458 imb:30 pmb:819 smb:2751 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:26.41 aq:21.81 tex:687 mv:490 misc:503 imb:1 pmb:50 smb:3549 d:t ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:26.41 aq:20.62 tex:190 mv:262 misc:444 imb:0 pmb:32 smb:3568 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:26.41 aq:18.36 tex:226 mv:1110 misc:768 imb:0 pmb:106 smb:3494 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:26.04 aq:17.45 tex:57907 mv:6078 misc:1095 imb:40 pmb:979 smb:2581 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:26.40 aq:19.88 tex:1068 mv:740 misc:720 imb:2 pmb:88 smb:3510 d:t ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:26.41 aq:22.13 tex:360 mv:575 misc:689 imb:0 pmb:78 smb:3522 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:26.40 aq:21.31 tex:395 mv:1075 misc:786 imb:1 pmb:116 smb:3483 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:25.69 aq:16.63 tex:64154 mv:5945 misc:1045 imb:43 pmb:988 smb:2569 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:26.04 aq:19.55 tex:1513 mv:967 misc:872 imb:1 pmb:131 smb:3468 d:t ref:0 ;
